sector,year,cloud_intensity_sim,pred_value_added_real
A,2026,64.7241,103.15215537165204
A,2027,67.960305,100.43286780136623
A,2028,71.35832025,98.30322440349482
A,2029,74.92623626250001,96.79270738667037
A,2030,78.67254807562503,95.9322730699314
B-E,2026,64.7241,97.58706330224595
B-E,2027,67.960305,95.73790780248419
B-E,2028,71.35832025,94.14488768464616
B-E,2029,74.92623626250001,92.82080971782125
B-E,2030,78.67254807562503,91.77912100956382
C,2026,64.7241,103.29624292536755
C,2027,67.960305,101.94664533241848
C,2028,71.35832025,100.93075053349276
C,2029,74.92623626250001,100.26524366828926
C,2030,78.67254807562503,99.96764413349774
F,2026,64.7241,69.26748977923125
F,2027,67.960305,64.01353281501906
F,2028,71.35832025,58.79077877348573
F,2029,74.92623626250001,53.60078780076583
F,2030,78.67254807562503,48.44519805029995
